                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1413,                 3.4222,                 3.7416,                0.27508,                0.28012,                0.17678,                0.04227,                 2.7316,                 10.816,                 3.4983,             0.00066358,             0.00066358,             0.00066358
                      2,                 2.5645,                 2.6057,                 2.9034,                 0.4224,                0.29557,                0.27637,                0.06908,                 2.3844,                 3.7702,                 2.9053,              0.0012863,              0.0012863,              0.0012863
                      3,                 2.2498,                  2.265,                  2.582,                0.40144,                0.32956,                0.28598,                0.09436,                  2.114,                 3.0087,                 2.6767,              0.0018651,              0.0018651,              0.0018651
                      4,                 2.1211,                 2.1125,                 2.4266,                0.48611,                0.45982,                0.39789,                0.15837,                  1.935,                 2.4027,                 2.3863,               0.001802,               0.001802,               0.001802
                      5,                 2.0157,                 1.9848,                 2.2921,                0.65384,                 0.5139,                0.56551,                0.24002,                  1.882,                 1.7465,                 2.2343,               0.001802,               0.001802,               0.001802
                      6,                 1.9653,                 1.8633,                  2.212,                0.53114,                0.60247,                0.55941,                0.23255,                 1.8576,                 1.8105,                  2.216,               0.001736,               0.001736,               0.001736
                      7,                 1.9063,                 1.7796,                  2.138,                 0.7559,                0.58702,                0.68681,                0.34237,                 1.6722,                 1.3791,                 2.0231,                0.00167,                0.00167,                0.00167
                      8,                 1.8605,                 1.7034,                 2.0818,                0.75713,                0.63646,                0.71508,                0.33875,                  1.698,                 1.4228,                 2.0397,               0.001604,               0.001604,               0.001604
                      9,                 1.8468,                 1.6695,                 2.0647,                0.77592,                0.65911,                0.74041,                0.34937,                 1.6825,                 1.2735,                 2.0065,               0.001538,               0.001538,               0.001538
                     10,                 1.8372,                 1.6582,                 2.0503,                0.79418,                0.68074,                0.75289,                0.37649,                 1.6188,                 1.2555,                 1.9622,               0.001472,               0.001472,               0.001472
                     11,                 1.7642,                 1.6021,                 2.0157,                0.71727,                0.66884,                0.73405,                0.34995,                  1.693,                  1.456,                 1.9831,               0.001406,               0.001406,               0.001406
                     12,                 1.7731,                 1.5564,                 1.9816,                0.78931,                 0.7215,                 0.7835,                0.38234,                   1.65,                   1.19,                  1.933,                0.00134,                0.00134,                0.00134
                     13,                 1.7416,                 1.5152,                 1.9705,                0.82838,                0.69928,                0.79225,                0.41042,                 1.5252,                 1.1705,                 1.8498,               0.001274,               0.001274,               0.001274
                     14,                 1.7305,                 1.4926,                 1.9542,                0.82852,                0.69104,                0.79398,                0.41585,                 1.5992,                 1.0822,                  1.908,               0.001208,               0.001208,               0.001208
                     15,                  1.696,                 1.4905,                 1.9266,                0.80901,                0.73018,                0.79997,                0.40149,                 1.5603,                 1.1221,                 1.8702,               0.001142,               0.001142,               0.001142
                     16,                 1.6712,                  1.429,                 1.8947,                0.86985,                0.73326,                0.83057,                0.42859,                 1.5678,                 1.0587,                 1.8472,               0.001076,               0.001076,               0.001076
                     17,                 1.6497,                 1.4301,                 1.8806,                0.88246,                0.75489,                0.83106,                0.44504,                 1.5345,                 1.0053,                 1.8253,                0.00101,                0.00101,                0.00101
                     18,                 1.6406,                 1.3945,                 1.8697,                0.82903,                0.75798,                0.83757,                0.44328,                 1.5208,                 1.0401,                 1.8116,               0.000944,               0.000944,               0.000944
                     19,                  1.627,                 1.3714,                 1.8569,                0.86299,                0.75077,                0.85283,                0.45995,                 1.5278,                0.95867,                 1.8019,               0.000878,               0.000878,               0.000878
                     20,                 1.6236,                 1.3331,                 1.8299,                0.87144,                0.76004,                0.85291,                0.46604,                 1.4645,                0.95473,                 1.7608,               0.000812,               0.000812,               0.000812
                     21,                 1.5206,                 1.0588,                 1.8236,                0.87101,                0.77194,                 0.8647,                 0.4832,                 1.4476,                 0.9175,                 1.7382,               0.000746,               0.000746,               0.000746
                     22,                 1.4987,                0.98074,                 1.7976,                0.88186,                0.78785,                0.87471,                0.49045,                 1.4223,                 0.9467,                 1.7256,                0.00068,                0.00068,                0.00068
                     23,                 1.4779,                0.97182,                 1.7798,                0.88155,                0.79609,                0.88705,                0.50416,                 1.4302,                0.86926,                 1.7117,               0.000614,               0.000614,               0.000614
                     24,                 1.4592,                0.94475,                 1.7601,                0.87473,                0.80227,                0.87965,                0.50331,                   1.41,                0.85395,                 1.7093,               0.000548,               0.000548,               0.000548
                     25,                 1.4362,                0.92654,                 1.7487,                0.87713,                0.78476,                0.87892,                0.49564,                 1.4247,                0.91742,                 1.7178,               0.000482,               0.000482,               0.000482
                     26,                 1.4149,                0.91583,                 1.7287,                0.89686,                0.79094,                0.89291,                0.52535,                 1.3738,                0.83547,                 1.6678,               0.000416,               0.000416,               0.000416
                     27,                 1.3917,                0.87633,                 1.6952,                0.89121,                0.81874,                0.89649,                0.53279,                 1.3472,                 0.8555,                 1.6443,                0.00035,                0.00035,                0.00035
                     28,                 1.3734,                0.86526,                 1.6905,                0.90789,                0.80536,                0.90488,                0.54403,                  1.312,                 0.8171,                 1.6244,               0.000284,               0.000284,               0.000284
                     29,                 1.3736,                0.84493,                 1.6958,                0.90093,                0.81481,                0.90284,                0.54291,                 1.3363,                0.77779,                 1.6316,               0.000218,               0.000218,               0.000218
                     30,                 1.3621,                0.84655,                 1.6694,                0.90204,                0.81554,                0.90941,                0.54614,                 1.3226,                0.77603,                 1.6179,               0.000152,               0.000152,               0.000152
